"ID","Course","LongTitle","Dept","UGrad"
"126060","STAT 215","Intro to Comptl Bio & Bioinfo","Statistics",0
"126065","ANE 120B","Hebrew Bible/Old Testament 2","Near Eastern Languages & Civ",12
"126074","ECON 2465","Health Economics","Economics",0
"126101","E-PSCI 381","Isotope Geobio & Earth History","Earth & Planetary Sciences",0
"126109","CLASSIC 98","Tutorial - Junior Year","Classics, The",5
"126172","APPHY 374","Signaling Processing and Syste","Applied Physics",0
"126193","GENED 1063","World Health","General Education",107
"126199","EASTD 141","Study of East Asian Religions","East Asian Langs & Civ",16
"126203","GENED 1054","Pol Economy and its Future","General Education",15
"126223","SOCIOL 1175","Immigration & Amer Society","Sociology",35
"126248","SOCIOL 98M","Jr Tut: Social Class","Sociology",10
"126258","GOV 40","International Conflict and","Government",208
"126271","MICROBI 201","Molecular Biology of the Bacte","Medical Sciences",1
"126279","HEB 3000","Reading and Research","Human Evolutionary Biology",0
"126280","HEB 3001","Reading for General Exam","Human Evolutionary Biology",0
"126282","HEB 3400","Adv Reading & Research","Human Evolutionary Biology",0
"126283","HEB 3500","Doctoral Dissertation","Human Evolutionary Biology",0
"126293","HIST 1433","History of American Populisms","History",26
"126329","COMPSCI 364","Programming Lang and Security","Computer Science",0
"126331","COMPSCI 326","Intel Interactive Systems","Computer Science",0
"126335","HISTSCI 176","Brainwashing & Mind Control","History of Science",27
"126361","BCMP 312","Repair of Double stranded DNA","Medical Sciences",0
"126363","BCMP 318","Mol mechanism of immune system","Medical Sciences",0
"126365","CELLBIO 306","Chromatin Dynamics in metaboli","Medical Sciences",0
"126368","GENETIC 320","Genetics of Common Human Disea","Medical Sciences",0
"126374","HBTM 342","Research in Hematology","Medical Sciences",0
"126385","DRB 310","Blood Stem Cell Development","Medical Sciences",0
"126388","DRB 313","Liver Development","Medical Sciences",0
"126389","DRB 314","Devel & Reprogramming Neuronal","Medical Sciences",0
"126391","DRB 316","Stem Cells and Organ Size","Medical Sciences",0
"126396","NEUROBIO 359","Functional and Behavioral","Medical Sciences",0
"126398","BMIF 354","Computational Medicine","Medical Sciences",0
"126402","BPH 201R","Laboratory Rotations","Bio Sciences in Public Health",0
"126406","HEB 3350","Lab Methods in Nutrition","Human Evolutionary Biology",0
"126431","TURKISH 150B","Advanced Ottoman Turkish II","Near Eastern Languages & Civ",0
"126489","SCRB 399","Vertebrate Developmental Biolo","Stem Cell & Regenerative Biol",0
"126498","HAA 277K","The Contemporary","History of Art & Architecture",0
"126514","HAA 310B","Works of Art","History of Art & Architecture",0
"126520","SPOL 303QC","Intro to Social Policy Rsch","Social Policy",0
"126529","SOCIOL 3315","Inequality & Social Policy","Sociology",0
"126531","MOD-HEB 130B","Advanced Modern Hebrew II","Near Eastern Languages & Civ",10
"126539","HAA 97R","Sophomore Tutorial","History of Art & Architecture",8
"126603","GENED 1031","Finding Our Way","General Education",12
"126610","MATH 110","Vector Space Methods for","Mathematics",13
"126616","HEB 3600","Current Issues in HEB","Human Evolutionary Biology",0
"126627","JAPNHIST 270","Early Modern Japanese History","East Asian Langs & Civ",0
"126641","GENED 1099","Pyramid Schemes","General Education",22
"126647","SCAND 90R.A","Danish","Germanic Languages & Lit",4
"126648","SWEDISH 10B","Beginning Swedish Lang and Lit","Germanic Languages & Lit",8
"126650","SCAND 90R.C","Norwegian","Germanic Languages & Lit",8
"126663","ECON 3002","Theory Grad Workshop","Economics",0
"126692","EGYPTIAN AB","The Language of the Pharaohs","Near Eastern Languages & Civ",6
"126777","ECON 980B","Education in the Economy","Economics",15
"126792","RELIGION 1040","Theology-Interreligious Perspe","Religion, The Study of",4
"126812","TDM 131","Directing Lab","Theater, Dance & Media",3
"126819","ECON 2325","Comparative Historical Econ","Economics",0
"126860","SPANSH 80T","Translation Wrkshp Spain 20th","Romance Languages & Lit",14
"126924","JAPNLIT 271","Topics in Gender and Cult in","East Asian Langs & Civ",0
"126933","FRENCH 10","Beginning French I","Romance Languages & Lit",8
"126935","FRENCH 11","Beginning French II","Romance Languages & Lit",37
"126938","FRENCH 20","Intermediate French","Romance Languages & Lit",10
"126942","FRENCH 30","Upper-level French","Romance Languages & Lit",33
"126944","BIOSTAT 281","Genomic Data Manipulation","Biostatistics",0
"126946","BIOSTAT 282","Intro Comp Bio & Bioinformatic","Biostatistics",0
"126997","FRENCH 40","Advanced French I","Romance Languages & Lit",18
"126998","FRENCH 50","Advanced French II","Romance Languages & Lit",7
"127073","ENG-SCI 342","Mechanics of Soft Materials","Engineering Sciences",0
"127078","PSY 1901","Methods of Behavioral Research","Psychology",32
"127206","HEB 1210","Research in Human Biomechanics","Human Evolutionary Biology",6
"127231","GHHP 91","Supervised Reading & Research","Global Health & Health Policy",16
"127400","GENETIC 388","Genetics of Neuronal Morph","Medical Sciences",0
"127402","ENG-SCI 398","Multidimensional Signal","Engineering Sciences",0
"127406","NEUROBIO 387","Modulation and Plasticity of","Medical Sciences",0
"127407","GENETIC 391","Genetic and genomic basis of b","Medical Sciences",0
"127468","AFVS 197","Cinema According to Hitchcock","Art, Film, and Visual Studies",7
"127474","BCMP 301QC","Translational Pharmacology","Medical Sciences",0
"127478","CELLBIO 301QC","Epi & Mol Pathology of Cancer","Medical Sciences",0
"127484","VIROLOGY 301QC","Adv Topics in Virology - Viral","Medical Sciences",0
"127492","TAM 101B","Elementary Tamil","South Asian Studies",3
"127494","TAM 102B","Intermediate Tamil","South Asian Studies",1
"127496","TAM 103BR","Advanced Tamil","South Asian Studies",1
"127512","BPH 381","Receptor Signaling and Disease","Bio Sciences in Public Health",0
"127520","HBTM 301QC","Case Studies in HBTM","Medical Sciences",0
"127551","COMPSCI 189","Autonomous Robot Systems","Computer Science",20
"127555","GENETIC 302QC","Teaching 101: Effect Practices","Medical Sciences",0
"127572","ESPP 90S","Tech Econ & Polcy Renewble Enr","Envi Science & Public Policy",17
"127599","BPH 302QC","Training Pulmonary Sci Part II","Bio Sciences in Public Health",0
"127739","DRB 321","Stem Cells and Neurodegenerati","Medical Sciences",0
"127768","STAT 98","Tutorial - Junior Year","Statistics",5
"127772","STAT 398","Research","Statistics",0
"127774","CHNSHIS 229R","Ming Intellectual History","East Asian Langs & Civ",0
"127804","ARABIC BB","Intermediate Arabic II","Near Eastern Languages & Civ",21
"127859","FOLKMYTH 172","Quilts and Quiltmaking","Folklore & Mythology",13
"127863","PORTUG 11","Beginning Portuguese II","Romance Languages & Lit",3
"127880","ROM-STD 109","Soccer Politics Popular Cultur","Romance Languages & Lit",36
"127889","ITAL 50","Advanced Italian II","Romance Languages & Lit",6
"127931","BPH 310QC","Molecular Mechanisms,Aging","Bio Sciences in Public Health",0
"127932","CLASPHIL 249","The Greek Dialects: Seminar","Classics, The",0
"127960","AFRAMER 191X","African Am Lives in the Law","African & African Amer Studies",17
"127974","JAPAN 150B","Reads & Discus Jpn Soc Sci","East Asian Langs & Civ",3
"127979","PHYSICS 295B","Quantum Theory of Solids","Physics",2
"127989","CELLBIO 304QC","Intro to Human Gross Anatomy","Medical Sciences",0
"128008","GOV 2474","Study of the US Congress","Government",2
"128056","HIST 2331","Smith and Marx: Philosophy","History",5
"128057","SOC-STD 98ND","Justice and Reconciliation","Social Studies",2
"128073","COMPSCI 20","Discrete Math Computer Science","Computer Science",93
"128103","APCOMP 275","Computational Design of Materi","Applied Computation",2
"128104","COMPSCI 205","Computing Foundations","Computer Science",6
"128118","FRSEMR 24K","The Surprising Science of","Freshman Seminars",13
"128122","FRSEMR 24U","“How Did I Get Here?”—Apprecia","Freshman Seminars",10
"128149","COMPSCI 247R","Adv Topics Computer Architectu","Computer Science",2
"128150","MCB 178","Biochemistry of Protein","Molecular & Cellular Biology",23
"128167","GENETIC 372","Molecular Mechanisms of Aging","Medical Sciences",0
"128171","CELLBIO 365","Mechanism and Biology","Medical Sciences",0
"128172","CELLBIO 366","Mitochondria in Aging","Medical Sciences",0
"128185","MICROBI 349","Molecular Mechanisms","Medical Sciences",0
"128186","MICROBI 350","Regulation of T-cell Mediated","Medical Sciences",0
"128265","ITAL 20","Intermediate Italian","Romance Languages & Lit",1
"128266","ITAL 30","Upper-Level Italian","Romance Languages & Lit",7
"128274","SOCIOL 3317","Culture, History and Society","Sociology",0
"128307","PSY 2475R","Systems Neurosc. of Psychopath","Psychology",5
"128327","GENED 1133","Civil War","General Education",57
"130000","ENGLISH CHCR","Advanced Poetry: Workshop","English",9
"130018","IMMUN 310","Innate & Adaptive Immune Cells","Medical Sciences",0
"130342","IMMUN 305QC","Neuro-Immunology in Developmnt","Medical Sciences",0
"130345","IMMUN 326L","Mechanistic Elucidation","Medical Sciences",0
"130670","ENGLISH 90FD","Rhetoric of Douglass & Lincoln","English",20
"130702","RUSS 115","Advanced Russian","Slavic Languages & Literatures",0
"130807","ENGLISH 90YP","W.B. Yeats: Seminar","English",18
"130822","OEB 380","Neurobiologcl Basis Behavior","Organismic & Evolutionary Biol",0
"130910","ENGLISH 231","Divine Comedies","English",0
"131235","OEB 343","Microbial Ecology &Symbiosis","Organismic & Evolutionary Biol",0
"131270","ENG-SCI 120","Intro: Mechanics of Solids","Engineering Sciences",32
"131285","APPHY 332","Exp Condensed Matter Physics","Applied Physics",0
"131316","IMMUN 346","Antigen in Lymph Nodes","Medical Sciences",0
"131343","IMMUN 350","Regulation of Autoimmune T Cel","Medical Sciences",0
