"ID","Course","LongTitle","Dept","UGrad"
"109861","GENED 1069","Rel, Existentlsm & Human Condn","General Education",93
"109864","RELIGION 1844","Religion, Gender, Identity Mus","Religion, The Study of",1
"109882","ESPP 77","Technology, Environment, Socie","Envi Science & Public Policy",24
"109883","COMPSCI 360","Online and Randomized Algorith","Computer Science",0
"109898","APCOMP 209A","Data Science 1","Applied Computation",3
"109899","COMPSCI 109A","Data Science 1","Computer Science",123
"109916","FRSEMR 21I","Evolution, Buddhism, & Ethics","Freshman Seminars",12
"109925","RELIGION 1920","The Politics of Storytelling","Religion, The Study of",0
"109933","WOMGEN 98F","Tutorial - Junior Year","Women, Gender & Sexuality",1
"109964","SOC-STD 98OC","Humans, Tech., and Biopolitics","Social Studies",4
"109967","PHYSICS 144","Symmetries and Geometry in","Physics",10
"110009","ANTHRO 2727","Anthropology of Media","Anthropology",2
"110022","STAT 186","Causal Inference","Statistics",5
"110055","AFVS 20","Contemporary Painting Practice","Art, Film, and Visual Studies",9
"110061","SPANSH 126","Performing Latinidad","Romance Languages & Lit",56
"110069","COMPLIT 343AA","Professing Literature 1","Comparative Literature",0
"110073","BCS AA","Elementary BCS I","Slavic Languages & Literatures",3
"110074","BCS BA","Intermediate BCS I","Slavic Languages & Literatures",1
"110075","BCS CR","Advanced BCS","Slavic Languages & Literatures",4
"110085","PORTUG 182","The Worlds of Camões","Romance Languages & Lit",1
"110112","MUSIC 10A","Harvard-Radcliffe Orchestra","Music",33
"110114","MUSIC 14A","Harvard-Radcliffe Collegium","Music",26
"110115","MUSIC 15A","Harvard Glee Club","Music",21
"110128","MUSIC 16A","Radcliffe Choral Society","Music",28
"110151","HBTM 321","Regenerative Biology","Medical Sciences",0
"110152","ANTHRO 3200","Dissertation Writing Workshop","Anthropology",0
"110160","ECON 3005","Economic Development Grad Work","Economics",0
"110203","PSY 980JL","Clinical Psych in Everyday Lif","Psychology",15
"110219","CHEM 326","Physical Chemistry and Atomic","Chemistry & Chemical Biology",0
"110228","HBTM 380","Viral evolution, Synthetic Vir","Medical Sciences",0
"110229","HBTM 381","Neurodev & neurodegen disorder","Medical Sciences",0
"110230","NEUROBIO 316","Sensory Neurons Mediate Touch","Medical Sciences",0
"110241","CHEM 110","Small Molecules and Biological","Chemistry & Chemical Biology",19
"110256","PHYSICS 304A","Field Theory & String Theory","Physics",0
"110257","PHYSICS 304B","Field Theory & String Theory","Physics",0
"110263","COMPSCI 380","Algorithms for Social Data","Computer Science",0
"110265","APPHY 376","Nonlinear Dynamics of Soft","Applied Physics",0
"110270","HAA 179X","Tectonics Lab","History of Art & Architecture",10
"110271","STAT 314HFRA","Timely Topics in Statistics","Statistics",0
"110285","HIST 1265","German Empires, 1848-1948","History",16
"110300","ECON 2148","Topics in Econometrics","Economics",0
"110309","ECON 2050","Behavioral Econ, Law & Pub Pol","Economics",0
"110312","ECON 2099","Market Design","Economics",42
"110319","TDM 150","Art of Scenography 20th & 21st","Theater, Dance & Media",8
"110382","GENED 1129","Infectious Diseases Soc Injust","General Education",56
"110387","SHBT 330","Dissertation Research","Medical Sciences",0
"110390","SHBT 311","Clinical work at MGHIHP","Medical Sciences",0
"110392","STAT 300HFRA","Research in Statistics","Statistics",0
"110424","MCB 60","Cell Bio Molecular Med","Molecular & Cellular Biology",80
"110425","FRSEMR 30Q","Death and Immortality","Freshman Seminars",14
"110427","FRSEMR 40L","Free Speech","Freshman Seminars",13
"110440","HUMAN 10A","Human Colloquium 10a","Humanities",89
"110448","HIST 1935","Byzantine Imperialism","History",1
"110450","MCB 63","Biochem & Molecular Medicine","Molecular & Cellular Biology",16
"110494","AFRAMER 219A","Race & Ethnicity in Latin Am","African & African Amer Studies",2
"110509","E-PSCI 247","Ocean Ridges and Earth System","Earth & Planetary Sciences",0
"110521","BPH 219","Biological Sciences Communicat","Bio Sciences in Public Health",0
"110526","PHYSICS 262","Statistical Mechanics","Physics",0
"110543","CHNSE 106A","Intro to Literary Chinese","East Asian Langs & Civ",4
"110559","BBS 333R","Research in Biol & Biomed Scie","Medical Sciences",0
"110569","PHYSICS 91R","Supervised Reading for Undergr","Physics",2
"110583","HISTSCI 91R","Supervised Reading & Research","History of Science",3
"110596","MATH 19A","Modeling/Differential Equation","Mathematics",46
"110605","AFRAMER 91R","Supervised Reading and Researc","African & African Amer Studies",2
"110614","LATIN 117","Livy","Classics, The",9
"110615","NEUROBIO 315","Molecular mechanisms of","Medical Sciences",0
"110629","MUSIC 91R","Sprvsd.. Reading and Res.","Music",7
"110640","TIBET 105AR","Intermed Colloquial Tibetan","South Asian Studies",0
"110641","PORTUG 11S","Begin. Portug for Spnsh Spkrs","Romance Languages & Lit",6
"110650","HAA 98AR","Faculty Tutorial","History of Art & Architecture",12
"110660","ECON 2450A","Public Econ and Fiscal Policy","Economics",0
"110673","HIST 3900","Writing History","History",0
"110676","AFVS 53AR","Fundamentals of Animation","Art, Film, and Visual Studies",7
"110684","APMTH 205","Advanced Scientific Computing","Applied Mathematics",9
"110708","ECON 2060","Contract Theory","Economics",1
"110709","SAS 302","Reading and Research","South Asian Studies",0
"110714","PSY 2358R","Memory: Research Seminar","Psychology",2
"110715","AFVS 98R","Tutorial - Junior Year","Art, Film, and Visual Studies",2
"110717","CHEM 302","Organometallic Chemistry","Chemistry & Chemical Biology",0
"110731","ECON 2725","Corporate Finance and Banking","Economics",2
"110741","HEB 1418","Research Methods Endocrinology","Human Evolutionary Biology",3
"110751","STAT 139","Linear Models","Statistics",67
"110758","HIST 91R","Supervised Reading and Researc","History",0
"110761","E-PSCI 91","Supervised Reading & Research","Earth & Planetary Sciences",0
